BOFEK2012,Opp-Aandeel (%) ,Bodem-nr,Eenheid,Gebruik,Laag_nr,Hor_code,Diepte_b,Diepte_o,Orgstof,Orgstof_p10,Orgstof_p90,Lutum (<2),lutum_p10,Lutum_p90,Silt (2-50),Leem (<50),Leem_p10,Leem_p90,M50,M50_p10,M50_p90,pH-KCl,pH_p10,pH_p90,CaC03,Dichtheid,Materiaal,A=0 of 1,Staring bouwsteen,Opmerking,
403,89,15120,Mv61C,G,2,1Cwg,15,40,3.0,1.0,5.0,23,12,35,37,60,40,80,80,70,100,5.5,5.0,6.5,0.1,1.364961708,210,0,O10,,
403,89,15120,Mv61C,G,3,1Cg,40,60,1.2,0.5,5.0,30,12,35,40,70,40,80,80,70,100,5.5,5.0,6.5,0.1,1.372725151,210,0,O11,,
403,89,15120,Mv61C,G,4,2Cw,60,80,45.0,30.0,60.0,40,12,55,45,85,60,95,80,70,100,4.6,4.0,5.0,0.0,0.4,130,0,O17,,
403,89,15120,Mv61C,G,5,2Cu,80,120,85.0,60.0,90.0,40,12,55,45,85,60,95,80,70,100,4.6,4.0,5.0,0.0,0.35,130,0,O17,,
404,46,16040,Rv01C,G,1,1Ahg,0,8,12.0,4.0,20.0,55,40,70,40,95,90,100,100,90,130,5.0,4.8,6.0,0.1,0.859135176,320,1,B12,,
404,46,16040,Rv01C,G,2,1ACg,8,20,8.0,4.0,15.0,55,40,70,40,95,90,100,100,90,130,5.0,4.8,6.0,0.1,1.00893935,320,1,B12,,
404,46,16040,Rv01C,G,3,1Cwg,20,40,3.0,1.0,10.0,60,40,70,37,97,90,100,100,90,130,5.2,4.8,6.0,0.1,1.136755966,320,0,O13,,
404,46,16040,Rv01C,G,4,1Cg,40,60,3.0,1.0,10.0,65,40,70,34,99,90,100,100,90,130,5.2,4.8,6.0,0.1,1.111640641,320,0,O13,,
404,46,16040,Rv01C,G,5,2Cu,60,120,65.0,40.0,80.0,65,40,70,34,99,90,100,100,90,130,5.2,4.8,5.4,0.1,0.46,130,0,O17,,
405,52,15130,Mv41C,G,1,1Ahg,0,8,12.0,5.0,20.0,40,35,60,55,95,85,100,70,60,100,5.1,4.8,6.0,0.1,0.905521354,210,1,B11,,
405,52,15130,Mv41C,G,2,1ACg,8,20,7.0,2.0,10.0,40,35,60,55,95,85,100,70,60,100,5.1,4.8,6.0,0.1,1.113478292,210,1,B11,,
405,52,15130,Mv41C,G,3,1Cwg,20,50,3.0,1.0,5.0,45,35,60,50,95,85,100,70,60,100,5.1,4.8,6.0,0.1,1.219406189,210,0,O12,,
405,52,15130,Mv41C,G,4,2Cw,50,70,45.0,30.0,60.0,40,35,60,55,95,60,100,80,70,100,4.6,4.0,5.0,0.0,0.4,130,0,O17,,
405,52,15130,Mv41C,G,5,2Cu,70,120,85.0,60.0,90.0,40,35,60,55,95,60,100,80,70,100,4.6,4.0,5.0,0.0,0.35,130,0,O17,,
406,63,15250,Mn15Av,A,1,1Ap,0,25,2.0,1.0,4.0,14,8,18,34,48,25,60,85,70,130,7.1,7.0,7.8,3.0,1.472157921,210,1,B8,,
406,63,15250,Mn15Av,A,2,1Cw,25,50,0.8,0.5,2.0,14,8,18,34,48,25,60,85,70,130,7.1,7.0,7.8,3.0,1.524388819,210,0,O9,,
406,63,15250,Mn15Av,A,3,1Cg1,50,85,0.5,0.5,2.0,9,8,18,26,35,25,60,85,70,130,7.1,7.0,7.8,7.0,1.595029763,210,0,O8,,
406,63,15250,Mn15Av,A,4,1Cg2,85,105,1.0,0.5,2.0,39,8,50,51,90,25,100,85,70,130,7.1,7.0,7.8,1.6,1.315625021,210,0,O12,,
406,63,15250,Mn15Av,A,5,2Cu,105,120,85.0,60.0,90.0,40,35,60,55,95,60,100,80,70,100,4.6,4.0,5.0,0.0,0.38,130,0,O17,,
407,56,15290,Mn25Av,G,1,1Ap1,0,10,5.0,1.0,8.0,22,18,25,43,65,30,70,85,70,130,7.0,6.8,7.8,5.0,1.297245538,210,1,B9,,
407,56,15290,Mn25Av,G,2,1Ap2,10,25,3.6,1.0,5.0,22,18,25,43,65,30,70,85,70,130,7.0,6.8,7.8,6.0,1.351185864,210,1,B9,,
407,56,15290,Mn25Av,G,3,1Cwg,25,50,1.0,0.5,3.0,22,18,25,43,65,30,70,85,70,130,7.3,7.0,7.8,7.0,1.444001617,210,0,O10,,
407,56,15290,Mn25Av,G,4,1Cg,50,105,0.4,0.2,3.0,18,12,25,34,52,30,70,85,70,130,7.3,7.0,7.8,7.0,1.518459774,210,0,O10,,
407,56,15290,Mn25Av,G,5,2Cu,105,120,65.0,60.0,90.0,40,35,60,55,95,60,100,80,70,100,4.6,4.0,5.0,0.0,0.45,130,0,O17,,
408,37,15180,Mn12A,A,1,1Ap,0,25,1.7,1.0,3.0,14,8,18,26,40,30,50,105,70,130,7.3,7.1,7.8,5.0,1.483497303,210,1,B8,,
408,37,15180,Mn12A,A,2,1Cw,25,50,0.8,0.5,2.0,12,8,18,25,37,30,50,110,70,130,7.4,7.1,7.8,7.0,1.54308935,210,0,O9,,
408,37,15180,Mn12A,A,3,1Cg,50,70,0.8,0.5,2.0,8,8,18,13,21,5,50,120,70,130,7.4,7.1,7.8,7.0,1.565222854,210,0,O8,,
408,37,15180,Mn12A,A,4,2Cg,70,120,0.4,0.2,2.0,3,2,10,6,9,5,25,125,70,150,7.4,7.1,7.8,7.0,1.630093921,210,0,O1,,
409,84,17020,KRn1g,G,1,1Apg,0,20,3.0,1.0,3.0,14,8,18,20,34,25,50,170,140,190,5.3,4.3,5.5,0.0,1.43503671,330,1,B8,,
409,84,17020,KRn1g,G,2,1Cwg1,20,40,0.8,0.5,2.0,12,8,18,20,32,25,50,170,140,190,4.6,4.3,5.5,0.0,1.54308935,330,0,O9,,
409,84,17020,KRn1g,G,3,1Cwg2,40,65,0.4,0.2,2.0,20,8,25,32,52,25,60,130,110,190,4.6,4.3,5.5,0.0,1.500347941,330,0,O10,,
409,84,17020,KRn1g,G,4,2Cg,65,120,0.3,0.2,2.0,2,2,12,8,10,6,25,320,200,400,5.0,4.3,5.5,0.3,1.466702332,330,0,O5,,
410,33,15200,Mn22A,A,1,1Ap,0,25,2.0,1.0,3.0,22,18,25,43,65,30,70,110,80,130,7.3,7.1,7.8,5.5,1.406321511,210,1,B9,,
410,33,15200,Mn22A,A,2,1Cw,25,50,0.8,0.5,2.0,22,18,25,43,65,30,70,110,80,130,7.4,7.1,7.8,7.0,1.453909724,210,0,O10,,
410,33,15200,Mn22A,A,3,1Cwg,50,70,0.8,0.5,2.0,13,8,18,22,35,5,50,120,70,130,7.4,7.1,7.8,7.0,1.533682082,210,0,O9,,
410,33,15200,Mn22A,A,4,2Cg,70,120,0.4,0.2,2.0,3,2,10,6,9,5,25,125,70,150,7.4,7.1,7.8,7.0,1.630093921,210,0,O1,,
411,41,17070,KRd7,G,1,1Ap,0,25,3.0,1.0,4.0,23,18,30,47,70,60,85,130,120,160,5.1,4.3,5.5,0.0,1.364961708,330,1,B9,,
411,41,17070,KRd7,G,2,1Bw,25,45,1.5,0.5,3.0,23,18,30,47,70,60,85,130,120,160,4.8,4.3,5.5,0.0,1.415821283,330,0,O10,,
411,41,17070,KRd7,G,3,1Cwg,45,70,0.4,0.2,2.0,34,18,45,56,90,40,95,130,110,190,4.2,4.0,5.5,0.0,1.384730731,330,0,O11,,
411,41,17070,KRd7,G,4,1Cg,70,120,0.3,0.2,2.0,28,25,35,52,80,60,90,140,130,190,4.6,4.3,5.5,0.0,1.442910778,330,0,O11,,
412,79,15220,Mn82A,A,1,1Ap,0,25,2.5,1.0,3.0,33,25,40,44,77,40,90,100,80,120,7.3,7.1,7.8,7.0,1.309874978,210,1,B10,,
412,79,15220,Mn82A,A,2,1Cwg,25,50,1.0,0.5,2.0,30,25,40,42,72,40,90,100,80,120,7.4,7.1,7.8,7.0,1.380605257,210,0,O11,,
412,79,15220,Mn82A,A,3,1Cg,50,70,0.8,0.5,2.0,16,8,18,22,38,5,50,120,70,130,7.4,7.1,7.8,7.0,1.506136119,210,0,O9,,
412,79,15220,Mn82A,A,4,2Cg,70,120,0.4,0.2,2.0,3,2,10,6,9,5,25,125,70,150,7.4,7.1,7.8,7.0,1.630093921,210,0,O1,,
413,45,15450,gMn53C,G,1,1Ap,0,20,3.0,1.0,6.0,18,8,25,32,50,45,80,85,70,100,5.8,4.8,7.0,0.2,1.403023799,210,1,B9,,
413,45,15450,gMn53C,G,2,1Cwg,20,80,1.3,0.5,3.0,44,30,50,51,95,70,100,80,70,100,5.6,4.8,7.0,0.2,1.272149705,210,0,O12,,
413,45,15450,gMn53C,G,3,1Cwg,80,120,0.6,0.5,2.0,17,12,50,33,50,40,100,80,70,100,7.2,6.8,7.4,4.0,1.510066719,210,0,O9,,
414,36,16130,Rn67C,G,1,1Apg1,0,10,6.0,2.0,8.0,28,15,35,47,75,50,90,120,100,150,5.6,5.0,7.0,0.1,1.218425662,320,1,B10,,
414,36,16130,Rn67C,G,2,1Apg2,10,20,4.0,2.0,6.0,28,15,35,47,75,50,90,120,100,150,5.6,5.0,7.0,0.1,1.295152409,320,1,B10,,
414,36,16130,Rn67C,G,3,1Cwg,20,50,0.9,0.5,4.0,32,15,40,53,85,50,90,120,100,150,5.6,5.4,7.0,0.1,1.369862584,320,0,O11,,
414,36,16130,Rn67C,G,4,1Cg1,50,100,1.8,0.5,3.0,56,25,70,39,95,90,100,100,90,150,6.0,5.5,6.5,0.2,1.186555922,320,0,O13,,
414,36,16130,Rn67C,G,5,1Cg2,100,120,0.6,0.5,3.0,22,10,35,22,44,30,70,135,90,150,6.3,6.0,7.5,0.3,1.466066293,320,0,O10,,
415,28,15360,Mn45A,A,1,1Ap,0,25,3.5,1.0,6.0,40,35,50,52,92,80,100,85,70,100,7.2,6.8,7.8,3.0,1.235072286,210,1,B11,,
415,28,15360,Mn45A,A,2,1Cwg,25,60,1.5,0.5,3.0,45,35,50,47,92,80,100,85,70,100,7.3,6.8,7.8,4.0,1.259836435,210,0,O12,,
415,28,15360,Mn45A,A,3,1Cg1,60,90,1.5,0.5,3.0,33,25,50,37,70,60,100,85,70,100,7.3,6.8,7.8,4.0,1.340385848,210,0,O11,,
415,28,15360,Mn45A,A,4,1Cg2,90,120,0.8,0.5,3.0,30,25,50,35,65,50,100,85,70,100,7.3,6.8,7.8,4.0,1.389659738,210,0,O11,,
416,59,15240,Mn15A,A,1,1Ap,0,25,2.0,1.0,3.0,14,8,18,34,48,25,60,85,70,130,7.4,7.1,7.8,4.5,1.472157921,210,1,B8,,
416,59,15240,Mn15A,A,2,1Cw,25,50,0.8,0.5,2.0,14,8,18,34,48,25,60,85,70,130,7.4,7.1,7.8,5.0,1.524388819,210,0,O9,,
416,59,15240,Mn15A,A,3,1Cg,50,120,0.7,0.2,2.0,9,4,18,26,35,25,60,85,70,130,7.4,7.1,7.8,7.5,1.578689163,210,0,O8,,
417,50,16210,Rn15C,G,1,1Ap,0,25,4.0,2.0,6.0,15,8,18,20,35,25,55,170,150,210,5.2,5.0,6.5,0.1,1.388050463,320,1,B8,,
417,50,16210,Rn15C,G,2,1Cw,25,45,1.0,0.5,3.0,15,8,18,20,35,25,55,170,150,210,5.5,5.0,6.5,0.1,1.504449409,320,0,O9,,
417,50,16210,Rn15C,G,3,1Cg,45,120,0.7,0.5,3.0,18,8,25,24,42,25,55,170,150,210,5.5,5.0,6.5,0.1,1.494294963,320,0,O10,,
418,53,15270,Mn25A,A,1,1Ap,0,25,2.0,1.0,4.0,22,18,25,43,65,30,70,95,70,130,7.4,7.1,7.8,7.0,1.406321511,210,1,B9,,
418,53,15270,Mn25A,A,2,1Cw,25,50,1.2,0.5,2.0,22,18,25,43,65,30,70,95,70,130,7.4,7.1,7.8,7.0,1.435383457,210,0,O10,,
418,53,15270,Mn25A,A,3,1Cg,50,120,0.6,0.2,2.0,14,8,18,34,48,25,60,85,70,130,7.4,7.1,7.8,8.0,1.537757965,210,0,O9,,
419,55,16090,Rn95A,A,1,1Ap,0,25,3.0,1.0,4.0,23,18,35,37,60,40,75,150,130,180,7.1,6.5,7.5,1.6,1.364961708,320,1,B9,,
419,55,16090,Rn95A,A,2,1Cwg,25,50,0.8,0.5,4.0,23,18,35,37,60,40,75,150,130,180,7.1,6.5,7.5,3.0,1.445555438,320,0,O10,,
419,55,16090,Rn95A,A,3,1Cg1,50,90,0.6,0.3,2.0,29,18,35,36,65,40,75,150,130,180,7.1,6.5,7.5,3.0,1.408604667,320,0,O11,,
419,55,16090,Rn95A,A,4,1Cg2,90,120,0.4,0.3,2.0,16,8,35,18,34,25,75,150,130,180,7.3,6.5,7.5,7.0,1.537014234,320,0,O9,,
420,100,15060,pMn85A,G,1,1Apg,0,20,11.0,5.0,15.0,32,25,40,38,70,40,95,80,70,100,6.6,6.3,7.8,0.9,0.977157464,210,1,B10,,
420,100,15060,pMn85A,G,2,1ACg,20,40,4.0,1.0,8.0,35,25,40,40,75,40,95,80,70,100,7.1,6.8,7.8,1.9,1.250101723,210,1,B10,,
420,100,15060,pMn85A,G,3,1Cwg,40,70,1.1,0.5,5.0,40,25,50,45,85,40,95,80,70,100,7.1,6.8,7.8,3.0,1.305138557,210,0,O12,,
420,100,15060,pMn85A,G,4,1Cg,70,120,0.7,0.2,3.0,25,20,40,35,60,30,95,80,70,100,7.1,6.8,7.8,8.0,1.434644238,210,0,O11,,
421,77,15320,Mn35A,A,1,1Ap,0,25,2.5,1.0,4.0,30,25,35,45,75,50,90,85,70,100,7.3,7.1,7.8,7.0,1.330660236,210,1,B10,,
421,77,15320,Mn35A,A,2,1Cw,25,40,1.2,0.5,3.0,30,25,35,45,75,50,90,85,70,100,7.4,7.1,7.8,8.0,1.372725151,210,0,O11,,
421,77,15320,Mn35A,A,3,1Cg1,40,80,0.8,0.5,3.0,28,12,40,44,72,50,90,85,70,100,7.4,7.1,7.8,8.0,1.405183922,210,0,O11,,
421,77,15320,Mn35A,A,4,1Cg2,80,120,0.7,0.5,3.0,15,8,40,23,38,30,90,85,70,100,7.4,7.1,7.8,8.0,1.5214056,210,0,O9,,
422,56,16160,Rn47C,G,1,1Ap1,0,8,6.0,2.0,10.0,40,35,50,45,85,60,95,140,110,170,5.5,5.0,6.0,0.1,1.151501648,320,1,B11,,
422,56,16160,Rn47C,G,2,1Apg,8,15,3.0,2.0,8.0,40,35,50,45,85,60,95,140,110,170,5.5,5.0,6.0,0.1,1.24969338,320,1,B11,,
422,56,16160,Rn47C,G,3,1Cwg,15,30,1.6,1.0,5.0,45,35,60,45,90,60,100,140,110,170,5.5,5.0,6.0,0.1,1.256999974,320,0,O12,,
422,56,16160,Rn47C,G,4,1Cg1,30,80,1.6,1.0,5.0,52,35,60,43,95,60,100,140,110,170,5.5,5.0,6.0,0.1,1.214520863,320,0,O13,,
422,56,16160,Rn47C,G,5,1Cg2,80,120,0.6,0.3,2.0,27,15,40,27,54,40,80,140,110,170,5.5,5.0,6.0,4.0,1.424557442,320,0,O11,,
501,100,22011,KT,G,1,1Apg,0,15,4.0,2.0,6.0,20,10,40,25,45,30,70,170,140,180,5.0,4.5,5.5,0.0,1.35078566,691,1,B9,,
501,100,22011,KT,G,2,1Cg1,15,40,0.8,0.5,2.0,22,10,60,27,49,30,70,140,130,180,4.0,3.6,5.5,0.0,1.453909724,691,0,O10,,
501,100,22011,KT,G,3,1Cg2,40,120,0.2,0.1,2.0,41,10,60,29,70,30,80,80,70,140,3.8,3.6,5.5,0.0,1.35612765,691,0,O12,,
502,100,22010,KX,G,1,1Apg,0,15,4.0,2.0,6.0,10,4,16,22,32,20,45,170,150,190,5.0,4.5,5.5,0.0,1.427429683,510,1,B6,,
502,100,22010,KX,G,2,1Cg1,15,40,0.8,0.5,2.0,14,4,20,16,30,20,45,170,150,190,4.8,4.5,5.5,0.0,1.524388819,510,0,O6,,
502,100,22010,KX,G,3,1Cg2,40,120,0.3,0.1,2.0,22,4,25,18,40,20,45,170,150,190,3.9,3.6,5.5,0.0,1.494335994,510,0,O6,,
503,100,22020,KK,A,1,1Ap,0,25,4.0,2.0,5.0,40,30,60,45,85,70,90,125,100,140,6.5,5.8,7.5,0.0,1.219794975,691,1,B11,,
503,100,22020,KK,A,2,1Cw,25,45,0.3,0.5,3.0,60,50,70,32,92,80,98,90,70,130,7.0,5.8,7.5,0.8,1.219150101,691,0,O13,,
503,100,22020,KK,A,3,1Cu,45,120,0.2,0.1,2.0,60,50,70,32,92,80,98,90,70,130,7.0,5.8,7.5,2.0,1.230135297,691,0,O13,,
504,51,18020,Ln5,G,1,1Apg,0,25,3.0,1.0,5.0,10,8,14,45,55,45,60,125,100,140,5.3,4.5,5.5,0.0,1.468544615,430,1,B13,,
504,51,18020,Ln5,G,2,1Cw,25,90,0.3,0.1,1.0,12,8,20,53,65,45,70,110,100,140,4.7,4.5,5.5,0.0,1.588704831,430,0,O14,,
504,51,18020,Ln5,G,3,2Cg,90,120,0.3,0.2,2.0,4,2,8,11,15,10,35,170,140,190,4.7,4.5,5.5,0.0,1.655071893,410,0,O2,,
505,52,5010,BLd5,A,1,1Ap,0,20,2.5,1.0,4.0,10,8,15,70,80,70,85,130,100,180,5.4,4.5,6.0,0.0,1.488080539,420,1,B13,,
505,52,5010,BLd5,A,2,1Eu,20,50,1.0,0.5,2.0,10,8,15,70,80,70,85,100,80,180,4.3,4.0,5.0,0.0,1.550820384,420,0,O14,,
505,52,5010,BLd5,A,3,1Bt,50,80,0.3,0.1,1.0,14,10,17,71,85,80,90,80,70,130,4.3,4.0,5.0,0.0,1.568889439,420,0,O15,,
505,52,5010,BLd5,A,4,1Cu,80,120,0.3,0.1,1.0,12,10,17,58,70,65,80,80,70,120,4.3,4.0,5.0,0.0,1.588704831,420,0,O14,,
506,46,18030,Ld5g,A,1,1Ap,0,25,2.5,1.0,4.0,10,8,14,60,70,50,70,130,110,150,6.0,5.5,6.5,0.0,1.488080539,430,1,B13,,
506,46,18030,Ld5g,A,2,1Cw,25,90,0.5,0.3,2.0,10,8,14,60,70,50,80,130,110,150,6.0,5.5,6.5,0.0,1.5849806,430,0,O14,,
506,46,18030,Ld5g,A,3,2Cg,90,120,0.3,0.2,2.0,3,2,8,5,8,6,20,300,200,400,4.7,4.5,5.5,0.0,1.498773084,330,0,O5,,
507,44,18050,Ldh6,A,1,1Ap,0,25,2.5,1.0,5.0,17,10,20,76,93,85,98,110,90,140,6.2,5.8,7.4,0.2,1.428915107,430,1,B14,,
507,44,18050,Ldh6,A,2,1Cw,25,60,0.6,0.3,2.0,17,10,20,76,93,85,98,110,90,140,7.0,6.0,7.4,0.2,1.510066719,430,0,O15,,
507,44,18050,Ldh6,A,3,1Cu,60,120,0.3,0.1,2.0,17,10,40,79,96,85,98,110,90,140,7.0,6.0,7.4,0.2,1.540076144,430,0,O15,,
